"","Player.Name","Salary","Position","Age","Team","Games Played","Games Started","Minutes Played","Field Goals Made","Field Goals Attempted","FG..x","3-Pointers Made","X3P..x","2-Pointers Made","X2P..x","eFG.","Free-Throws Made","FTA.x","FT..x","PTS.x","Total.Minutes","PER","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","OWS","DWS","WS","WS.48","OBPM","DBPM","BPM","VORP","Is_NBA","X2022.Signing","PTS.y","FG..y","X2P..y","X3P..y","FTA.y","FT..y","3-Pointers Attempted","2-Pointers Attempted","Free-Throws Attempted","Offensive Rebounds","Defensive Rebounds","Total Rebounds","Assists","Steals","Blocks","Turnovers","Personal Fouls"
"85","Will Barton",15059712,"SG",32,"WAS/TOR",56,2,17.7,2.5,6.5,0.379,1.2,0.367,1.3,0.391,0.47,0.7,0.8,0.787,6.8,993,10,0.493,0.495,0.129,1.7,13.5,7.7,15.4,1.4,1.1,11.1,18.9,-0.4,0.8,0.4,0.021,-2,-0.6,-2.6,-0.2,1,NA,NA,NA,NA,NA,NA,NA,3.2,3.3,0.8,0.3,2.2,2.4,2,0.5,0.2,0.9,1
"86","Tyus Jones",15000000,"PG",26,"MEM",80,22,24.3,3.9,8.9,0.438,1.5,0.371,2.4,0.495,0.523,1,1.3,0.8,10.3,1940,16,0.546,0.459,0.141,1.5,9.4,5.5,28.8,2,0.3,8.9,17.7,3.4,2.3,5.7,0.141,1.2,0.3,1.6,1.7,1,NA,NA,NA,NA,NA,NA,NA,4.1,4.8,1.3,0.4,2.2,2.5,5.2,1,0.1,0.9,0.4
"87","Derrick Rose",14520730,"PG",34,"NYK",27,0,12.5,2.3,5.9,0.384,0.7,0.302,1.6,0.438,0.443,0.4,0.4,0.917,5.6,338,10.1,0.463,0.396,0.075,2.6,10.4,6.5,19.9,1,1.4,11.8,23.6,-0.3,0.3,0,-0.001,-2.2,-1.5,-3.7,-0.1,1,NA,NA,NA,NA,NA,NA,NA,2.3,3.6,0.4,0.3,1.2,1.5,1.7,0.3,0.2,0.8,0.7
"88","Kevin Huerter",14508929,"SG",24,"SAC",75,75,29.4,5.6,11.5,0.485,2.7,0.402,2.9,0.604,0.603,1.3,1.7,0.725,15.2,2203,15.2,0.617,0.589,0.151,2.2,10.8,6.5,14.1,1.7,1,9.5,19.9,3.3,1.7,4.9,0.107,1.4,-0.3,1,1.7,1,NA,NA,NA,NA,NA,NA,NA,6.8,4.7,1.7,0.6,2.8,3.3,2.9,1.1,0.3,1.3,2.4
"89","Christian Wood",14317459,"C",27,"DAL",67,17,25.9,5.9,11.5,0.515,1.6,0.376,4.3,0.594,0.583,3.2,4.2,0.772,16.6,1738,20.6,0.624,0.363,0.365,5.8,27.4,16.4,11.7,0.9,3.7,11.9,26.4,2.7,2.1,4.8,0.132,1.9,-0.3,1.7,1.6,1,NA,NA,NA,NA,NA,NA,NA,4.2,7.3,4.2,1.3,6,7.3,1.8,0.4,1.1,1.8,2.5
"90","Kentavious Caldwell-Pope",14004703,"SG",29,"DEN",76,76,31.3,3.8,8.3,0.462,1.8,0.423,2.1,0.502,0.569,1.4,1.6,0.824,10.8,2381,11.5,0.598,0.505,0.198,1.7,8.1,5,9.8,2.3,1.3,11.1,14.1,2,2.5,4.5,0.091,-1.6,0.6,-1,0.6,1,NA,NA,NA,NA,NA,NA,NA,4.2,4.1,1.6,0.5,2.3,2.7,2.4,1.5,0.5,1.1,1.9
"91","Brook Lopez",13906976,"C",34,"MIL",78,78,30.4,6.1,11.5,0.531,1.7,0.374,4.4,0.637,0.606,1.9,2.4,0.784,15.9,2373,18.4,0.63,0.405,0.211,7.2,15.3,11.4,6.1,0.7,6.7,9.8,19.3,4.1,3.9,8,0.161,0.8,1.3,2.1,2.5,1,NA,NA,NA,NA,NA,NA,NA,4.7,6.9,2.4,2,4.7,6.7,1.3,0.5,2.5,1.4,2.6
"92","Patrick Beverley",13801614,"SG-PG",34,"LAL/CHI",67,67,27.1,2.1,5.4,0.4,1.2,0.335,1,0.529,0.511,0.7,1,0.723,6.2,1816,8.9,0.534,0.664,0.181,2.7,12,7.5,13.3,1.7,2,13.4,10.6,0.8,2.1,3,0.079,-2.9,1.7,-1.2,0.3,1,NA,NA,NA,NA,NA,NA,NA,3.6,1.8,1,0.7,3,3.7,2.9,0.9,0.6,0.9,2.8
"93","Doug McDermott",13750000,"SF",31,"SAS",64,0,20.5,3.7,8.2,0.457,1.9,0.413,1.8,0.516,0.575,0.8,1.1,0.757,10.2,1314,11.2,0.59,0.57,0.134,1.9,9.9,5.8,9.8,0.5,0.4,9.5,19.2,1,0,1,0.035,-0.7,-2.5,-3.2,-0.4,1,NA,NA,NA,NA,NA,NA,NA,4.7,3.5,1.1,0.4,1.8,2.2,1.4,0.2,0.1,0.9,1.8
"94","Luke Kennard",13745455,"SG",26,"LAC/MEM",59,14,22.3,3.2,6.5,0.492,2.3,0.494,0.9,0.487,0.666,0.6,0.7,0.949,9.3,1315,13,0.684,0.704,0.102,1.2,11.8,6.6,9.4,1.2,0.3,10.3,14.5,2.2,1.2,3.4,0.124,0.6,-0.1,0.5,0.8,1,NA,NA,NA,NA,NA,NA,NA,4.6,1.9,0.7,0.3,2.4,2.7,1.5,0.5,0.1,0.8,1.4
