Player,2022 Salary,2022 Signing,G,GS,MIN,PTS,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,TOV,STL,BLK,PF
Alanna Smith A Smith,19285,UFA,9,1,12.8,4.3,1.6,4.7,33.30%,0.9,1.9,47.10%,0.7,2.8,24.00%,0.6,0.8,71.40%,0.9,1.8,2.7,0.6,0.9,0.9,0.7,1.9
Bridget Carleton B Carleton,72141,Reserved,36,2,16.8,4.3,1.5,3.7,40.30%,0.7,1.4,48.10%,0.8,2.3,35.40%,0.5,0.7,73.10%,0.3,1.8,2.1,1.1,0.6,0.4,0.1,1.6
Brianna Turner B Turner,72141,--,35,35,33.4,4.3,1.9,3.2,60.70%,1.9,3.2,60.70%,0,0,--,0.4,0.9,50.00%,2,4.8,6.8,2.3,1.4,1.3,1.6,2.3
Dana Evans D Evans,62774,Rookie,33,1,11.5,4.3,1.5,3.9,37.70%,0.8,1.9,42.90%,0.7,2,32.80%,0.7,0.8,88.00%,0.2,0.7,0.8,1.2,0.8,0.3,0.1,0.9
Yvonne Turner Y Turner,2143,Hardship,9,2,15.4,4,1.3,4.1,32.40%,1,3.3,30.00%,0.3,0.8,42.90%,1,1.2,81.80%,0.3,1.2,1.6,2,1.4,0.3,0,1.3
Olivia Nelson-Ododa O Nelson-Ododa,63389,Rookie,30,6,14.5,4,1.6,2.8,56.00%,1.6,2.8,56.00%,0,0,--,0.9,1.2,70.30%,1.1,1.8,2.9,0.4,1,0.3,0.8,2.6
Theresa Plaisance T Plaisance,72141,UFA,31,2,12.9,4,1.4,3.7,37.10%,0.4,0.9,44.40%,1,2.9,34.80%,0.2,0.3,70.00%,0.5,2.1,2.6,0.5,0.6,0.3,0.4,1.3
Yvonne Turner Y Turner,5357,Hardship,9,2,15.4,4,1.3,4.1,32.40%,1,3.3,30.00%,0.3,0.8,42.90%,1,1.2,81.80%,0.3,1.2,1.6,2,1.4,0.3,0,1.3
Yvonne Turner Y Turner,3750,Hardship,9,2,15.4,4,1.3,4.1,32.40%,1,3.3,30.00%,0.3,0.8,42.90%,1,1.2,81.80%,0.3,1.2,1.6,2,1.4,0.3,0,1.3
Epiphanny Prince E Prince,115000,UFA,33,0,12.3,3.9,1.3,3.8,35.50%,0.7,2,35.40%,0.6,1.8,35.60%,0.6,0.8,84.00%,0.2,0.8,1,1.8,0.5,0.6,0.1,0.9
Lexie Hull L Hull,69224,Rookie,26,4,12.9,3.8,1.1,4,26.70%,0.8,2.4,32.30%,0.3,1.7,18.60%,1.4,1.5,90.00%,0.4,1.1,1.5,0.7,0.7,0.6,0.1,1.8
Iliana Rupert I Rupert,37420,Rookie,17,0,13.1,3.8,1.5,3.2,46.30%,0.6,0.9,68.80%,0.8,2.2,36.80%,0.1,0.2,33.30%,0.6,1.6,2.3,0.9,0.5,0.4,0,2.1
Jantel Lavender J Lavender,114000,UFA,27,4,12.2,3.8,1.7,4.1,40.90%,1.5,3.2,46.50%,0.2,0.9,20.80%,0.3,0.4,66.70%,1,2.3,3.3,0.9,0.9,0.1,0.1,1.1
Jantel Lavender J Lavender,72141,UFA,27,4,12.2,3.8,1.7,4.1,40.90%,1.5,3.2,46.50%,0.2,0.9,20.80%,0.3,0.4,66.70%,1,2.3,3.3,0.9,0.9,0.1,0.1,1.1
Megan Gustafson M Gustafson,72141,UFA,33,0,9.6,3.8,1.5,2.8,54.90%,1.2,2,58.50%,0.4,0.8,46.20%,0.4,0.5,76.50%,0.5,1.4,1.9,0.5,0.7,0.2,0.2,1.9
Briann January B January,140000,UFA,36,5,16.9,3.7,1.3,3.4,37.70%,0.6,1.3,47.90%,0.6,2.1,31.10%,0.5,0.6,82.60%,0.2,0.8,1,2.4,1.5,0.6,0.2,1.6
Alaina Coates A Coates,24999,UFA,8,0,9.4,3.5,0.9,1.4,63.60%,0.9,1.4,63.60%,0,0,--,1.8,1.9,93.30%,0.8,1.3,2,0.3,0.6,0.3,0.4,2.3
Jennie Simms J Simms,8083,Hardship,23,4,13.2,3.4,1.3,2.7,47.60%,1.1,1.9,59.10%,0.2,0.8,21.10%,0.7,0.8,78.90%,0.6,1.7,2.2,0.9,1,0.5,0,1.7
Jennie Simms J Simms,10477,UFA,23,4,13.2,3.4,1.3,2.7,47.60%,1.1,1.9,59.10%,0.2,0.8,21.10%,0.7,0.8,78.90%,0.6,1.7,2.2,0.9,1,0.5,0,1.7
Jennie Simms J Simms,12573,UFA,23,4,13.2,3.4,1.3,2.7,47.60%,1.1,1.9,59.10%,0.2,0.8,21.10%,0.7,0.8,78.90%,0.6,1.7,2.2,0.9,1,0.5,0,1.7
Megan Walker M Walker,24996,--,12,0,9.6,3.3,1.2,3.2,36.80%,0.6,1.6,36.80%,0.6,1.6,36.80%,0.3,0.5,66.70%,0.3,0.5,0.8,0.4,1,0.3,0,0.7
Yvonne Anderson Y Anderson,23350,UFA,11,0,9.2,3.2,1.1,2.4,46.20%,0.7,1.5,50.00%,0.4,0.9,40.00%,0.6,0.6,100.00%,0.3,0.5,0.8,1.1,1,0.3,0.2,1.3
Bria Hartley B Hartley,23000,UFA,13,0,9.5,3,1.1,2.8,37.80%,0.5,1.5,35.00%,0.5,1.3,41.20%,0.3,0.5,66.70%,0.1,0.8,0.9,1.1,0.8,0.3,0,0.5
Bria Hartley B Hartley,175911,--,13,0,9.5,3,1.1,2.8,37.80%,0.5,1.5,35.00%,0.5,1.3,41.20%,0.3,0.5,66.70%,0.1,0.8,0.9,1.1,0.8,0.3,0,0.5
Karlie Samuelson K Samuelson,3214,Hardship,1,0,10.2,3,1,3,33.30%,0,0,--,1,3,33.30%,0,0,--,0,3,3,1,1,0,0,1
Julie Allemand J Allemand,61049,--,25,4,16.1,3,1,2.4,41.70%,0.6,1.2,55.20%,0.4,1.2,29.00%,0.6,0.7,83.30%,0.4,1.2,1.6,3.4,1.3,0.6,0.1,0.9
Evina Westbrook E Westbrook,26344,UFA,20,2,10.2,2.8,1,2.7,37.70%,0.8,1.7,45.50%,0.3,1,25.00%,0.6,0.8,73.30%,0.1,1,1,1.2,0.8,0.4,0.4,0.9
Evina Westbrook E Westbrook,12573,UFA,20,2,10.2,2.8,1,2.7,37.70%,0.8,1.7,45.50%,0.3,1,25.00%,0.6,0.8,73.30%,0.1,1,1,1.2,0.8,0.4,0.4,0.9
Evina Westbrook E Westbrook,16764,UFA,20,2,10.2,2.8,1,2.7,37.70%,0.8,1.7,45.50%,0.3,1,25.00%,0.6,0.8,73.30%,0.1,1,1,1.2,0.8,0.4,0.4,0.9
Awak Kuier A Kuier,71441,Rookie,33,0,12.6,2.8,1,2.6,39.50%,0.9,2,46.20%,0.1,0.6,19.00%,0.6,0.9,61.30%,0.7,1.8,2.5,0.9,0.6,0.4,0.9,0.8
Kianna Smith K Smith,8382,UFA,11,0,10.2,2.6,1,3.2,31.40%,0.5,1.5,35.30%,0.5,1.6,27.80%,0.2,0.2,100.00%,0.5,0.4,0.8,0.5,0.4,0.4,0,1
Kianna Smith K Smith,9285,UFA,11,0,10.2,2.6,1,3.2,31.40%,0.5,1.5,35.30%,0.5,1.6,27.80%,0.2,0.2,100.00%,0.5,0.4,0.8,0.5,0.4,0.4,0,1
Jocelyn Willoughby J Willoughby,70127,--,11,4,11,2.6,1,2.4,42.30%,0.7,1.4,53.30%,0.3,1,27.30%,0.4,0.7,50.00%,0.2,1.5,1.6,0.4,0.8,0.5,0.2,0.7
Veronica Burton V Burton,69224,Rookie,36,6,15.2,2.6,0.7,2.1,32.90%,0.4,0.9,39.40%,0.3,1.2,27.90%,0.9,0.9,100.00%,0.5,1,1.5,1.9,1,0.9,0.3,1.4
Kia Vaughn K Vaughn,110000,UFA,29,1,13.8,2.5,1.1,2.8,40.00%,1.1,2.7,40.50%,0,0,0.00%,0.3,0.4,69.20%,1,2.2,3.2,0.9,1.2,0.3,0.3,1.7
Ruthy Hebard R Hebard,73211,--,24,0,9.7,2.3,1,2,51.00%,1,2,51.00%,0,0,--,0.3,0.3,75.00%,0.3,1.4,1.7,0.5,0.5,0.3,0.1,1.2
DiDi Richards D Richards,62774,Rookie,14,0,11.1,2.3,0.8,2.6,30.60%,0.6,1.8,32.00%,0.2,0.8,27.30%,0.5,0.7,70.00%,0.4,1.4,1.7,1.4,0.9,0.1,0.4,1.8
Kiah Stokes K Stokes,115000,UFA,31,4,15.3,2.3,0.8,2,42.60%,0.7,1.2,56.80%,0.2,0.8,20.80%,0.4,0.5,81.30%,0.9,3.5,4.4,0.6,0.6,0.5,0.8,1.3
Khayla Pointer K Pointer,37121,ROS,10,0,5.8,2.2,0.7,1.2,58.30%,0.6,0.8,75.00%,0.1,0.4,25.00%,0.7,1.4,50.00%,0.1,0.7,0.8,0.2,0.9,0.2,0,0.2
Reshanda Gray R Gray,15000,UFA,27,0,8.8,2.2,0.9,2.1,43.90%,0.8,1.6,51.20%,0.1,0.5,21.40%,0.2,0.3,66.70%,0.6,1.4,2,0.4,1,0.3,0.2,2.1
Reshanda Gray R Gray,19999,UFA,27,0,8.8,2.2,0.9,2.1,43.90%,0.8,1.6,51.20%,0.1,0.5,21.40%,0.2,0.3,66.70%,0.6,1.4,2,0.4,1,0.3,0.2,2.1
Reshanda Gray R Gray,36428,UFA,27,0,8.8,2.2,0.9,2.1,43.90%,0.8,1.6,51.20%,0.1,0.5,21.40%,0.2,0.3,66.70%,0.6,1.4,2,0.4,1,0.3,0.2,2.1
Beatrice Mompremier B Mompremier,60471,Reserved,21,0,8.3,2.1,1,2.1,45.50%,1,2.1,45.50%,0,0,--,0.2,0.6,38.50%,1,1.9,2.8,0.4,0.7,0.1,0.6,1.3
Nia Clouden N Clouden,66306,Rookie,28,0,8.9,2.1,0.6,1.9,34.00%,0.2,0.9,25.00%,0.4,1,41.40%,0.4,0.6,58.80%,0.1,0.8,0.8,0.8,0.4,0.2,0,0.9
Joyner Holmes J Holmes,30535,UFA,26,0,7.9,2,0.7,2.3,31.10%,0.5,1.5,35.90%,0.2,0.8,22.70%,0.4,0.5,76.90%,0.2,1.1,1.3,0.5,0.7,0.3,0.1,0.8
Joyner Holmes J Holmes,14968,UFA,26,0,7.9,2,0.7,2.3,31.10%,0.5,1.5,35.90%,0.2,0.8,22.70%,0.4,0.5,76.90%,0.2,1.1,1.3,0.5,0.7,0.3,0.1,0.8
Joyner Holmes J Holmes,12573,UFA,26,0,7.9,2,0.7,2.3,31.10%,0.5,1.5,35.90%,0.2,0.8,22.70%,0.4,0.5,76.90%,0.2,1.1,1.3,0.5,0.7,0.3,0.1,0.8
Anneli Maley A Maley,8083,Hardship,4,0,11.1,2,0.8,1.5,50.00%,0.3,0.8,33.30%,0.5,0.8,66.70%,0,0,--,0.8,1,1.8,0.8,0.3,0.8,0.3,1.5
Charli Collier C Collier,71441,Rookie,17,0,4.6,2,0.7,1.6,44.40%,0.7,1.5,48.00%,0,0.1,0.00%,0.6,0.8,71.40%,0.2,0.4,0.6,0.1,0.6,0.1,0,1.1
Mercedes Russell M Russell,160000,RFA,5,0,10.7,2,0.8,1.6,50.00%,0.8,1.6,50.00%,0,0,--,0.4,0.6,66.70%,0.4,1.4,1.8,0.2,1.4,0,0,1.4
Rui Machida R Machida,60471,UFA,36,2,12.9,1.8,0.7,2.3,31.00%,0.5,1.4,38.00%,0.2,0.9,20.60%,0.2,0.3,66.70%,0.2,0.9,1.1,2.6,1.1,0.4,0.1,0.7
Stephanie Jones S Jones,3143,Hardship,5,0,5.3,1.8,0.6,1.6,37.50%,0.4,1.2,33.30%,0.2,0.4,50.00%,0.4,0.4,100.00%,0.2,0.2,0.4,0.4,0,0.2,0,1
Stephanie Jones S Jones,1796,Hardship,5,0,5.3,1.8,0.6,1.6,37.50%,0.4,1.2,33.30%,0.2,0.4,50.00%,0.4,0.4,100.00%,0.2,0.2,0.4,0.4,0,0.2,0,1
Li Yueru L Yueru,60471,--,16,0,5.1,1.8,0.5,1.1,44.40%,0.5,1.1,44.40%,0,0,--,0.8,0.8,100.00%,0.3,1.2,1.5,0.1,0.8,0.1,0.1,0.6
Rae Burrell R Burrell,66306,Rookie,3,1,14.5,1.7,0.3,3,11.10%,0,1,0.00%,0.3,2,16.70%,0.7,0.7,100.00%,0.3,0.7,1,0.3,0.3,0.7,0,1.3
Jasmine Walker J Walker,68552,Rookie,32,1,8.8,1.6,0.6,2.4,25.00%,0.3,0.8,34.60%,0.3,1.6,20.00%,0.1,0.1,100.00%,0.4,1.1,1.5,0.2,0.5,0.2,0.1,0.9
Sydney Colson S Colson,72141,UFA,18,0,6.8,1.6,0.6,1.8,31.30%,0.4,1.2,33.30%,0.2,0.6,27.30%,0.3,0.3,100.00%,0.2,0.3,0.4,1,0.4,0.1,0,0.8
Aisha Sheppard A Sheppard,63389,Rookie,23,0,7.6,1.5,0.4,1.8,23.80%,0,0.4,11.10%,0.4,1.4,27.30%,0.3,0.3,75.00%,0.3,0.3,0.6,0.3,0.3,0.2,0,1.1
Kristine Anigwe K Anigwe,36428,UFA,10,1,6.5,1.5,0.5,1,50.00%,0.5,1,50.00%,0,0,--,0.5,1,50.00%,0.5,0.8,1.3,0.2,0.6,0.1,0.2,1.2
Kamiah Smalls K Smalls,4041,Hardship,3,0,11.3,1.3,0.7,2.7,25.00%,0.7,1.3,50.00%,0,1.3,0.00%,0,0,--,0,1.7,1.7,2,1.3,1.3,0,2
Kierstan Bell K Bell,66306,Rookie,21,1,5.8,1.3,0.5,1.6,30.30%,0.3,0.5,63.60%,0.1,1,13.60%,0.2,0.2,100.00%,0.2,0.7,0.9,0.3,0.2,0.1,0.1,0.5
Rennia Davis R Davis,1347,Hardship,8,0,5.4,1.3,0.6,1.6,38.50%,0.6,1.4,45.50%,0,0.3,0.00%,0,0,--,0.4,0.6,1,0.1,0.4,0.3,0,0.4
Rennia Davis R Davis,18560,Hardship,8,0,5.4,1.3,0.6,1.6,38.50%,0.6,1.4,45.50%,0,0.3,0.00%,0,0,--,0.4,0.6,1,0.1,0.4,0.3,0,0.4
Kiana Williams K Williams,3143,UFA,4,0,7.3,1.3,0.5,2,25.00%,0.3,1,25.00%,0.3,1,25.00%,0,0,--,0,0.5,0.5,1.3,0.5,0,0,0.3
Kiana Williams K Williams,4041,Hardship,4,0,7.3,1.3,0.5,2,25.00%,0.3,1,25.00%,0.3,1,25.00%,0,0,--,0,0.5,0.5,1.3,0.5,0,0,0.3
Jasmine Dickey J Dickey,60471,Rookie,20,0,4.7,1.1,0.4,1.7,21.20%,0.3,1.5,20.70%,0.1,0.2,25.00%,0.3,0.5,66.70%,0.3,0.3,0.6,0.1,0.3,0.2,0.1,0.5
Jazmine Jones J Jones,6586,ROS,8,0,5.8,0.8,0.3,1,25.00%,0.3,0.6,40.00%,0,0.4,0.00%,0.3,0.6,40.00%,0,0.3,0.3,0.1,0.4,0.3,0,0.6
Jazmine Jones J Jones,12573,UFA,8,0,5.8,0.8,0.3,1,25.00%,0.3,0.6,40.00%,0,0.4,0.00%,0.3,0.6,40.00%,0,0.3,0.3,0.1,0.4,0.3,0,0.6
Amy Atwell A Atwell,20955,Rookie,4,1,7.9,0.8,0.3,2.3,11.10%,0,0.8,0.00%,0.3,1.5,16.70%,0,0,--,0.3,0.3,0.5,0.5,0.5,0,0,0.3
Jazmine Jones J Jones,2994,ROS,8,0,5.8,0.8,0.3,1,25.00%,0.3,0.6,40.00%,0,0.4,0.00%,0.3,0.6,40.00%,0,0.3,0.3,0.1,0.4,0.3,0,0.6
Lorela Cubaj L Cubaj,63389,Rookie,11,0,8,0.7,0.4,1.1,33.30%,0.4,1.1,33.30%,0,0,--,0,0,--,0.8,1.3,2.1,0.4,0.5,0,0.2,1.1
Elissa Cunane E Cunane,9878,Hardship,3,0,3.3,0.7,0.3,0.7,50.00%,0.3,0.3,100.00%,0,0.3,0.00%,0,0,--,0.7,1,1.7,0,0.3,0,0,0.3
Sam Thomas S Thomas,60471,UFA,24,0,4.9,0.4,0.2,0.8,21.10%,0.1,0.2,75.00%,0,0.6,6.70%,0,0,100.00%,0.1,0.1,0.2,0.3,0.2,0.3,0.1,0.5
Kaila Charles K Charles,1796,Hardship,1,0,2,0,0,0,--,0,0,--,0,0,--,0,0,--,0,0,0,0,0,0,0,1
Tina Krajisnik T Krajisnik,8532,Hardship,2,0,2.7,0,0,0.5,0.00%,0,0.5,0.00%,0,0,--,0,0,--,0,0,0,1,0,0.5,0,1
Kaila Charles K Charles,898,Hardship,1,0,2,0,0,0,--,0,0,--,0,0,--,0,0,--,0,0,0,0,0,0,0,1
Hannah Sjerven H Sjerven,4490,Hardship,3,0,3,0,0,0.3,0.00%,0,0.3,0.00%,0,0,--,0,0,--,0,0,0,0,0,0,0.3,0.7
Raina Perez R Perez,2245,Hardship,1,0,2.3,0,0,0,--,0,0,--,0,0,--,0,0,--,0,0,0,1,0,0,0,0
Brittney Griner B Griner,227900,--,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Kia Nurse K Nurse,73542,RFA,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
