"","Player","X2022.Salary","X2022.Signing","G","GS","MIN","PTS","FGM","FGA","FG.","X2PM","X2PA","X2P.","X3PM","X3PA","X3P.","FTM","FTA","FT.","ORB","DRB","TRB","AST","TOV","STL","BLK","PF","Is_NBA"
"47","Maya Caldwell",1796,"Hardship",9,7,23.7,10.9,4.2,8.2,"51.40%",2.2,4.7,"47.60%",2,3.6,"56.30%",0.4,0.6,"80.00%",0.6,1.9,2.4,2.2,1.6,0.8,0.2,1.7,0
"48","Natasha Cloud",185000,"SuspCE",34,34,31.3,10.7,3.6,9.1,"39.90%",2.4,5.1,"46.20%",1.3,4,"31.90%",2.2,2.7,"82.40%",0.5,3.1,3.6,7,2.8,1,0.3,1.6,0
"49","Azura Stevens",140000,NA,35,8,21.9,10.6,4.3,9.1,"47.20%",3.1,5.8,"53.50%",1.2,3.3,"36.20%",0.8,1.1,"74.40%",0.6,3.3,3.9,0.8,0.7,0.5,1.1,1.7,0
"50","Moriah Jefferson",170953,NA,31,30,26.1,10.4,3.8,8.4,"45.20%",2.6,5.9,"44.30%",1.2,2.5,"47.40%",1.7,2.1,"81.50%",0.4,2.1,2.4,4.7,2.2,1.2,0.1,2.2,0
"51","Moriah Jefferson",67141,"UFA",31,30,26.1,10.4,3.8,8.4,"45.20%",2.6,5.9,"44.30%",1.2,2.5,"47.40%",1.7,2.1,"81.50%",0.4,2.1,2.4,4.7,2.2,1.2,0.1,2.2,0
"52","Marine Johannes",40713,"ROS",24,10,25.5,10,3.5,7.5,"46.40%",1.2,2.2,"52.80%",2.3,5.3,"43.70%",0.8,1,"87.00%",0.2,1.5,1.7,3.4,1.8,0.6,0.1,1.6,0
"53","Shey Peddy",72141,"Reserved",34,24,28.7,9.9,3.4,8.2,"41.80%",2,3.9,"51.50%",1.4,4.3,"32.90%",1.6,1.9,"88.90%",1.3,2.4,3.8,3.4,1.4,1.6,0.2,1.8,0
"54","Victoria Vivians",72141,"Reserved",35,30,26.9,9.8,3.6,10.7,"33.60%",2.3,6.2,"37.60%",1.3,4.5,"28.00%",1.3,1.8,"74.20%",0.7,2.9,3.6,2.4,2.1,1.1,0.3,2.4,0
"55","Katie Lou",72141,NA,32,29,29.5,9.7,3.3,9,"37.30%",1.6,4,"39.80%",1.8,5,"35.20%",1.3,1.5,"83.70%",0.5,2.4,3,1.9,1.1,1,0.2,1.6,0
"56","Ezi Magbegor",60471,NA,33,23,24.7,9.5,4,7.3,"55.00%",3.7,6.5,"57.70%",0.3,0.9,"34.50%",1.2,1.6,"73.60%",1.6,4,5.6,1.4,1.4,0.9,1.8,2.9,0
"57","Dearica Hamby",152800,NA,34,32,26.5,9.3,3.4,7.3,"46.60%",2.9,5.2,"56.80%",0.5,2.1,"21.90%",2,2.7,"72.00%",1.4,5.6,7.1,1.1,1.5,1.1,0.1,2,0
"58","Jordin Canada",98000,"UFA",32,25,27,9.2,3.3,8.5,"38.40%",3,6.9,"43.90%",0.2,1.6,"14.00%",2.5,3.1,"80.60%",0.2,2.1,2.3,5.5,2.3,1.4,0.2,1.8,0
"59","Natisha Hiedeman",72141,"Reserved",36,31,25,9.1,3.3,7.6,"43.10%",1.4,2.9,"46.20%",1.9,4.7,"41.10%",0.7,0.8,"80.00%",0.2,1.6,1.8,3.3,1.3,1.2,0.1,1.8,0
"60","Myisha Hines-Allen",170000,"RFA",34,15,19.3,8.9,3.4,8.1,"41.50%",2.5,5.8,"43.40%",0.9,2.3,"36.70%",1.3,1.9,"70.30%",1.1,4.2,5.3,1.9,1.7,0.8,0.3,1.6,0
"61","Chennedy Carter",76297,NA,24,2,16.4,8.9,3.5,7.9,"45.00%",3.5,7.5,"46.40%",0.1,0.4,"20.00%",1.7,2.3,"74.50%",0.4,1.5,1.9,1.9,1.8,0.6,0.4,2.2,0
"62","Isabelle Harrison",159000,NA,35,18,18.4,8.7,3.3,7.1,"46.60%",3.3,7.1,"46.20%",0.1,0.1,"100.00%",2.1,2.4,"86.70%",1.4,2.9,4.3,1.3,1.3,0.7,0.1,2.1,0
"63","Shakira Austin",72141,"Rookie",36,32,21.6,8.7,3.4,6.2,"54.70%",3.4,6.2,"55.00%",0,0,"0.00%",1.9,3,"62.40%",1.8,4.7,6.4,0.9,1.5,0.8,0.8,2.3,0
"64","Han Xu",60471,"Rookie",32,0,16.8,8.5,3.4,6.9,"49.30%",2.9,5.8,"50.30%",0.5,1.1,"44.40%",1.2,1.5,"79.60%",1.2,2.4,3.6,0.9,0.7,0.5,0.7,1,0
"65","Rebekah Gardner",60471,"UFA",35,2,21.7,8.4,3.3,6.1,"54.20%",2.9,4.9,"58.70%",0.4,1.2,"35.70%",1.4,1.7,"80.00%",1.3,2,3.3,1.3,1.6,1.4,0.5,2.3,0
"66","Erica Wheeler",185400,NA,30,30,26.3,8.4,3.3,9.2,"35.50%",2.5,6.8,"36.50%",0.8,2.4,"32.90%",1,1.4,"75.60%",0.6,2.5,3.1,3.9,2.5,1.1,0.1,2.5,0
"67","Jessica Shepard",60471,NA,36,22,26.1,8.1,3,6,"50.00%",2.8,5.3,"53.10%",0.2,0.7,"25.00%",1.9,2.6,"73.40%",2,5.4,7.4,3,1.7,0.4,0.3,2.1,0
"68","Stefanie Dolson",160000,"UFA",36,36,23,8.1,3.1,6.4,"49.30%",2.4,4.5,"53.40%",0.7,1.8,"39.40%",1.1,1.2,"90.50%",1.2,3.6,4.8,1.8,1.6,0.4,0.8,3.1,0
"69","Alysha Clark",183000,"UFA",29,29,26.4,8,3.1,6.8,"46.40%",2.1,3.3,"62.90%",1,3.4,"30.30%",0.7,0.8,"91.30%",0.8,3.7,4.5,2,1.3,1,0.3,1.9,0
"70","Kayla Thornton",107040,NA,36,35,29.2,8,2.7,5.8,"46.90%",2,3.6,"55.40%",0.7,2.1,"32.50%",1.9,2.3,"82.90%",1.8,4.1,5.9,1.8,1.2,1.1,0.6,2.7,0
"71","Rachel Banham",72141,"UFA",36,5,17.5,7.9,2.8,6.5,"43.00%",1.2,2.4,"51.20%",1.6,4.1,"38.30%",0.7,0.8,"80.00%",0.1,1.3,1.3,2.3,1.3,0.3,0.1,1.7,0
"72","Sue Bird",72141,"UFA",31,31,26.4,7.8,2.7,6.8,"40.30%",0.9,2.2,"43.30%",1.8,4.6,"38.90%",0.5,0.5,"100.00%",0.2,1.7,1.9,6,1.9,1.2,0.1,0.7,0
"73","Gabby Williams",144000,NA,36,36,25.6,7.5,3,6.8,"44.40%",2.5,4.8,"52.00%",0.5,1.9,"25.70%",1,1.3,"77.80%",1.2,3.8,5,3.1,1.4,1.5,0.4,1.6,0
"74","Danielle Robinson",155000,"UFA",31,30,23.6,7.4,2.7,6.5,"41.90%",2.5,5.3,"46.60%",0.3,1.3,"22.50%",1.6,1.9,"85.00%",0.4,2.5,2.9,3.8,1.6,0.7,0.2,1.4,0
"75","Napheesa Collier",72141,NA,4,4,22.7,7.3,2.8,6.5,"42.30%",2.3,4.8,"47.40%",0.5,1.8,"28.60%",1.3,1.8,"71.40%",0.5,2.5,3,1,0.3,0.5,0.3,2.3,0
"76","Lexie Brown",72141,"RFA",34,16,25,7.1,2.7,6.2,"44.10%",1.2,2.3,"51.30%",1.6,3.9,"39.80%",0.1,0.2,"66.70%",0.2,2.1,2.3,2.1,0.8,1,0.2,1.3,0
"77","Queen Egbo",66306,"Rookie",34,31,21.2,7,2.8,6.3,"44.20%",2.8,6.3,"44.20%",0,0,NA,1.4,2.2,"64.50%",1.8,4.4,6.1,0.9,1.9,0.9,1.2,2.9,0
"78","Chiney Ogwumike",116390,"SuspCE",26,7,18.4,7,2.7,5.7,"46.60%",2.3,5,"46.90%",0.3,0.7,"44.40%",1.4,2,"70.60%",2,3.5,5.5,1.1,1.4,0.7,0.3,2.7,0
"79","Rebecca Allen",141000,"UFA",25,19,20.9,7,2.6,6.8,"37.90%",1.5,3.4,"44.20%",1,3.3,"31.30%",0.8,1,"83.30%",0.3,3,3.4,1.2,1,0.8,1,1.9,0
"80","Shatori Walker-Kimbrough",72141,"UFA",35,3,20.1,6.9,2.3,5.7,"40.20%",1.5,3.5,"43.50%",0.7,2.1,"34.70%",1.6,1.7,"90.20%",0.3,1.5,1.8,1.5,1.1,1.1,0.3,1.2,0
"81","Odyssey Sims",3750,"Hardship",7,0,20.8,6.9,2.4,7.6,"32.10%",1.9,5.4,"34.20%",0.6,2.1,"26.70%",1.4,2.1,"66.70%",0.3,1.6,1.9,2.9,1.7,1.1,0.3,1.6,0
"82","Odyssey Sims",2678,"Hardship",7,0,20.8,6.9,2.4,7.6,"32.10%",1.9,5.4,"34.20%",0.6,2.1,"26.70%",1.4,2.1,"66.70%",0.3,1.6,1.9,2.9,1.7,1.1,0.3,1.6,0
"83","Odyssey Sims",6428,"UFA",7,0,20.8,6.9,2.4,7.6,"32.10%",1.9,5.4,"34.20%",0.6,2.1,"26.70%",1.4,2.1,"66.70%",0.3,1.6,1.9,2.9,1.7,1.1,0.3,1.6,0
